order,sectionTitle,lessonTitle,slug,sectionIcon,filePath,description
01A,Welcome,Intro,welcome/intro,door-open,/lessons/welcome/intro,""
01B,Welcome,My Setup,welcome/my-setup,door-open,/lessons/welcome/my-setup,""
01C,Welcome,Create Next App,welcome/create-next-app,door-open,/lessons/welcome/create-next-app,""
02A,Styling,shadcn,styling/shadcn,palette,/lessons/styling/shadcn,""
02B,Styling,Scaling Tailwind,styling/scaling-tailwind,palette,/lessons/styling/scaling-tailwind,""
02C,Styling,Complete UI,styling/complete-ui,palette,/lessons/styling/complete-ui,""
03A,Auth,Signin and Signup,auth/signin-and-signup,user-lock,/lessons/auth/signin-and-signup,""
03B,Auth,Protecting Routes,auth/protecting-routes,user-lock,/lessons/auth/protecting-routes,""
03C,Auth,Errata: Neon Auth to Stack Auth,auth/errata-neon-auth-to-stack-auth,user-lock,/lessons/auth/errata-neon-auth-to-stack-auth,""
04A,Database,Neon and Postgres,database/neon-and-postgres,database,/lessons/database/neon-and-postgres,""
04B,Database,Setting up Drizzle,database/setting-up-drizzle,database,/lessons/database/setting-up-drizzle,""
04C,Database,Query with Drizzle,database/query-with-drizzle,database,/lessons/database/query-with-drizzle,""
04D,Database,Writes with Drizzle,database/writes-with-drizzle,database,/lessons/database/writes-with-drizzle,""
04E,Database,Authorization,database/authorization,database,/lessons/database/authorization,""
04F,Database,Errata: Code Checkpoint,database/code-checkpoint,database,/lessons/database/code-checkpoint,""
05A,Object Storage,Vercel Blob,object-storage/vercel-blob,cloud,/lessons/object-storage/vercel-blob,""
05B,Object Storage,Upload Images,object-storage/upload-images,cloud,/lessons/object-storage/upload-images,""
06A,Key Value Store,Upstash,key-value-store/upstash,key,/lessons/key-value-store/upstash,""
06B,Key Value Store,Caching,key-value-store/caching,key,/lessons/key-value-store/caching,""
06C,Key Value Store,Counting,key-value-store/counting,key,/lessons/key-value-store/counting,""
07A,Email,Resend,email/resend,envelope,/lessons/email/resend,""
07B,Email,Send Emails to Users,email/send-emails-to-users,envelope,/lessons/email/send-emails-to-users,""
07C,Email,React Email,email/react-email,envelope,/lessons/email/react-email,""
08A,AI,Vercel AI Gateway,ai/vercel-ai-gateway,robot,/lessons/ai/vercel-ai-gateway,""
08B,AI,AI Inference,ai/ai-inference,robot,/lessons/ai/ai-inference,""
08C,AI,Cron,ai/cron,robot,/lessons/ai/cron,""
09A,DevOps,Deploy to Vercel,devops/deploy-to-vercel,cogs,/lessons/devops/deploy-to-vercel,""
09B,DevOps,"Speed Insights, Analytics, and Observability",devops/speed-insights-analytics-and-observability,cogs,/lessons/devops/speed-insights-analytics-and-observability,""
09C,DevOps,Continuous Delivery,devops/continuous-delivery,cogs,/lessons/devops/continuous-delivery,""
09D,DevOps,Continuous Integration,devops/continuous-integration,cogs,/lessons/devops/continuous-integration,""
10A,Conclusion,What More You Can Do,conclusion/what-more-you-can-do,trophy,/lessons/conclusion/what-more-you-can-do,""
10B,Conclusion,Congrats,conclusion/congrats,trophy,/lessons/conclusion/congrats,""
